响应时间,机组名称,频率初值,频差极值,最大频率调节量,出力初值,出力极值,最大出力调节量,最大理论调节量,出力响应指数,实际贡献电量,理论贡献电量,电量贡献指数,综合指数,平均出力调节量,平均理论调节量,调差系数,滞后时间,调频死区,爬坡速率,响应偏差率,15秒实际贡献电量,15秒理论贡献电量,15秒贡献电量指数,30秒实际贡献电量,30秒理论贡献电量,30秒贡献电量指数,45秒实际贡献电量,45秒理论贡献电量,45秒贡献电量指数,60秒实际贡献电量,60秒理论贡献电量,60秒贡献电量指数,量测源
2017/03/31 12:36:21,华东.平圩厂 华东.平圩厂/20kV.3号机,49.967,-0.125,-0.093,478.2,503.8,25.5,23.7,107.6,220.72,171.13,129.0,118.3,13.2,10.3,2.1,0.00,0.033,4.53,17.2,0.14,61.67,0.23,38.78,100.93,38.43,125.37,137.34,91.29,220.72,171.13,128.97,PMU
2017/03/31 12:36:21,华东.平圩厂 华东.平圩厂/20kV.4号机,49.967,-0.125,-0.093,471.5,492.5,21.0,23.4,89.9,226.25,168.44,134.3,112.1,13.6,10.1,2.4,0.00,0.033,7.25,13.7,7.71,60.71,12.70,76.57,99.35,77.07,148.35,135.18,109.74,226.25,168.44,134.32,PMU
2017/03/31 12:36:21,华东.铜陵厂 安徽.铜陵厂/20kV.铜陵厂#4机,49.967,-0.125,-0.093,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.033,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PMU
2017/03/31 12:36:21,华东.铜陵厂 安徽.铜陵厂/27kV.铜陵厂#5机,49.967,-0.125,-0.093,822.8,830.4,7.6,38.9,19.5,90.94,280.76,32.4,26.0,5.5,16.9,13.5,0.00,0.033,0.73,29.3,15.19,101.18,15.01,36.44,165.58,22.01,61.37,225.32,27.24,90.94,280.76,32.39,PMU
2017/03/31 12:36:21,华东.团洲厂 安徽.团洲厂/22kV.团洲厂#1机,49.967,-0.125,-0.093,409.9,427.6,17.7,24.5,72.5,259.77,176.47,147.2,109.8,15.6,10.6,3.1,0.00,0.033,4.07,5.4,48.92,63.60,76.91,119.29,104.08,114.61,192.40,141.62,135.86,259.77,176.47,147.21,PMU
2017/03/31 12:36:21,华东.团洲厂 安徽.团洲厂/22kV.团洲厂#2机,49.967,-0.125,-0.093,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.033,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PMU
2017/03/31 12:36:21,华东.新桥厂 安徽.新桥厂/20kV.新桥厂#1机,49.967,-0.125,-0.093,411.5,435.6,24.2,24.5,98.7,277.05,176.48,157.0,127.8,16.6,10.6,3.2,0.00,0.033,32.30,1.9,75.75,63.60,119.10,143.05,104.08,137.44,209.71,141.62,148.08,277.05,176.48,156.99,PMU
2017/03/31 12:36:21,华东.新桥厂 安徽.新桥厂/20kV.新桥厂#2机,49.967,-0.125,-0.093,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.033,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PMU
2017/03/31 12:36:21,华东.永丰厂 安徽.永丰厂/20kV.永丰厂#1机,49.967,-0.125,-0.093,448.0,460.4,12.4,23.5,52.5,133.90,169.79,78.9,65.7,8.0,10.2,5.7,0.00,0.033,11.92,9.9,33.86,61.19,55.34,72.26,100.13,72.17,106.42,136.25,78.10,133.90,169.79,78.86,PMU
2017/03/31 12:36:21,华东.永丰厂 安徽.永丰厂/20kV.永丰厂#2机,49.967,-0.125,-0.093,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.033,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PMU
2017/03/31 12:36:21,华东.袁庄厂 华东.袁庄厂/20kV.1号机,49.967,-0.125,-0.093,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.033,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PMU
2017/03/31 12:36:21,华东.袁庄厂 华东.袁庄厂/20kV.2号机,49.967,-0.125,-0.093,475.0,488.9,13.9,23.4,59.3,124.96,168.45,74.2,66.7,7.5,10.1,6.2,0.00,0.033,19.99,11.9,36.73,60.71,60.51,75.13,99.35,75.62,104.25,135.18,77.12,124.96,168.45,74.19,PMU
2017/03/31 12:36:21,华东.袁庄厂 华东.袁庄厂/20kV.3号机,49.967,-0.125,-0.093,475.4,481.1,5.6,26.0,21.7,70.59,187.18,37.7,29.7,4.2,11.2,9.3,0.00,0.033,1.12,27.0,4.98,67.45,7.38,25.10,110.39,22.73,48.04,150.21,31.98,70.59,187.18,37.71,PMU
2017/03/31 12:36:21,华东.袁庄厂 华东.袁庄厂/20kV.4号机,49.967,-0.125,-0.093,474.7,479.7,5.0,23.4,21.4,62.13,168.46,36.9,29.1,3.7,10.1,9.2,0.00,0.033,0.83,27.3,3.86,60.71,6.35,21.53,99.35,21.67,41.65,135.19,30.81,62.13,168.46,36.88,PMU
